name_1,name_2,name_3,degree_1,degree_2,degree_3,error
dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,5.1825052651111037e-05
dist_incenter__orthocenter,perimeter,semiperimeter,1,1,1,5.206396963330917e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_1,1,1,1,5.288702232064679e-05
dist_centroid__circumcenter,dist_circumcenter__orthocenter,perimeter,1,1,1,5.319312185747549e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_incenter__steiner_focus_2,1,1,1,5.54955295228865e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,perimeter,1,1,1,5.586210681940429e-05
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,1,1,1,5.692111881216988e-05
area,inradius,semiperimeter,2,1,1,5.772905933554284e-05
dist_centroid__circumcenter,dist_circumcenter__orthocenter,semiperimeter,1,1,1,6.319920066744089e-05
circumradius,dist_centroid__orthocenter,perimeter,1,1,1,6.473472603829578e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_circumcenter__incenter,1,1,1,6.541494803968817e-05
dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,6.611347635043785e-05
dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,6.712193135172129e-05
area,dist_centroid__steiner_focus_2,semiperimeter,2,1,1,6.712319736834615e-05
area,circumradius,dist_circumcenter__incenter,2,1,1,6.748931627953425e-05
dist_centroid__steiner_focus_1,inradius,perimeter,1,1,1,7.25004865671508e-05
area,dist_steiner_focus_1__steiner_focus_2,inradius,2,1,1,7.393556734314188e-05
area,dist_centroid__steiner_focus_1,inradius,2,1,1,7.455359445884824e-05
area,circumradius,inradius,2,1,1,7.480794010916725e-05
area,dist_centroid__steiner_focus_2,inradius,2,1,1,7.50457911635749e-05
dist_circumcenter__incenter,inradius,perimeter,1,1,1,7.506565452786162e-05
circumradius,dist_centroid__orthocenter,semiperimeter,1,1,1,7.706537144258618e-05
dist_centroid__steiner_focus_2,inradius,perimeter,1,1,1,7.789833034621552e-05
circumradius,dist_circumcenter__orthocenter,perimeter,1,1,1,8.301339403260499e-05
circumradius,dist_centroid__circumcenter,semiperimeter,1,1,1,8.464777783956379e-05
circumradius,dist_circumcenter__orthocenter,semiperimeter,1,1,1,8.794683526502922e-05
dist_centroid__circumcenter,dist_circumcenter__incenter,dist_incenter__orthocenter,1,1,1,9.005238098325208e-05
dist_centroid__circumcenter,dist_incenter__orthocenter,perimeter,1,1,1,9.286416752729565e-05
dist_orthocenter__steiner_focus_2,perimeter,semiperimeter,1,1,1,9.34771669562906e-05
area,dist_centroid__orthocenter,dist_circumcenter__orthocenter,2,1,1,9.408932965015993e-05
circumradius,dist_centroid__circumcenter,perimeter,1,1,1,0.00010093616583617404
dist_centroid__incenter,dist_incenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.00010350175580242649
dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.00010424751963000745
dist_centroid__circumcenter,dist_centroid__orthocenter,semiperimeter,1,1,1,0.00010977865167660639
dist_centroid__incenter,dist_incenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.00011004316183971241
area,dist_centroid__circumcenter,dist_circumcenter__orthocenter,2,1,1,0.00011166226613568142
dist_centroid__circumcenter,dist_circumcenter__orthocenter,inradius,1,1,1,0.00011628679931163788
dist_circumcenter__incenter,dist_circumcenter__orthocenter,dist_incenter__orthocenter,1,1,1,0.00011922139674425125
dist_centroid__steiner_focus_2,perimeter,semiperimeter,1,1,1,0.00012511058594100177
dist_circumcenter__orthocenter,inradius,perimeter,1,1,1,0.00012667494593188167
area,dist_centroid__steiner_focus_1,perimeter,2,1,1,0.0001336936984444037
dist_centroid__orthocenter,dist_circumcenter__incenter,dist_incenter__orthocenter,1,1,1,0.00013378661242313683
circumradius,dist_incenter__orthocenter,semiperimeter,1,1,1,0.00014220719458535314
circumradius,inradius,perimeter,1,1,1,0.00014432246098294854
circumradius,dist_circumcenter__incenter,perimeter,1,1,1,0.00015371515473816544
dist_circumcenter__incenter,inradius,semiperimeter,1,1,1,0.000154272755025886
dist_centroid__steiner_focus_1,inradius,semiperimeter,1,1,1,0.00015766271098982543
dist_centroid__circumcenter,inradius,perimeter,1,1,1,0.0001588727900525555
dist_centroid__orthocenter,inradius,perimeter,1,1,1,0.00016298725677188486
dist_orthocenter__steiner_focus_2,inradius,perimeter,1,1,1,0.00016470896662212908
circumradius,dist_orthocenter__steiner_focus_2,perimeter,1,1,1,0.00016769397188909352
dist_orthocenter__steiner_focus_1,inradius,perimeter,1,1,1,0.00016869469254743308
dist_centroid__orthocenter,dist_incenter__orthocenter,perimeter,1,1,1,0.00016920141933951527
area,dist_circumcenter__incenter,perimeter,2,1,1,0.00017461997049394995
dist_circumcenter__orthocenter,dist_incenter__orthocenter,perimeter,1,1,1,0.00017756581655703485
dist_circumcenter__steiner_focus_1,inradius,perimeter,1,1,1,0.0001853341527748853
dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,perimeter,1,1,1,0.00018741188978310674
dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,perimeter,1,1,1,0.00019544720998965204
dist_centroid__incenter,dist_circumcenter__incenter,dist_circumcenter__orthocenter,1,1,1,0.0001972062891582027
dist_incenter__orthocenter,inradius,perimeter,1,1,1,0.00020287906227167696
dist_centroid__circumcenter,dist_incenter__orthocenter,semiperimeter,1,1,1,0.00021338099031709135
dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,perimeter,1,1,1,0.00021357221703510731
area,dist_centroid__orthocenter,inradius,2,1,1,0.00021574817947112024
