name_1,name_2,name_3,real_error,null_mean,null_std,z_score,ratio
dist_centroid__circumcenter,dist_centroid__orthocenter,semiperimeter,0.005637538993887695,0.1548732920119559,0.06682092672572156,2.2333685019160696,0.03640097605371809
circumradius,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_1,0.0034316635912816184,0.0939523328912288,0.012283104276151131,7.36952705642189,0.03652558149093062
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,0.010768958193805545,0.29268856639709345,0.1143662880295612,2.465058655487864,0.03679323154425921
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_1,0.006619788714223431,0.17982620837010535,0.03589670629273928,4.825134045540994,0.03681214642861767
circumradius,dist_circumcenter__steiner_focus_2,dist_incenter__steiner_focus_1,0.003521241875832285,0.09533839584143274,0.02977928882662095,3.0832554296434793,0.03693414227032759
dist_centroid__circumcenter,dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_1,0.008848465152325864,0.23951553709209084,0.2018524434651503,1.142750952031896,0.03694317813263085
dist_centroid__orthocenter,dist_orthocenter__steiner_focus_2,inradius,0.006456354338104604,0.1736744806057244,0.013182051335572788,12.685288655823143,0.037175031792735354
dist_centroid__orthocenter,dist_circumcenter__orthocenter,perimeter,0.007906433898803373,0.21250701044301748,0.12987906281899486,1.5753160833117068,0.03720552033704995
dist_centroid__circumcenter,dist_incenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.007476989660339445,0.20013129816438033,0.13966930112632103,1.3793604389113299,0.03736042152786181
dist_centroid__orthocenter,dist_circumcenter__steiner_focus_2,inradius,0.005761716181623528,0.15417580251239865,0.10670286012374974,1.390910104552496,0.037371079558091984
area,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,0.01091300143550551,0.2912080928808402,0.15540842386688888,1.8036029480963935,0.037474924984214
dist_centroid__circumcenter,dist_orthocenter__steiner_focus_1,inradius,0.004728779856744805,0.12611334733066712,0.019540389673672807,6.211982949217558,0.03749626789578443
dist_centroid__steiner_focus_2,dist_circumcenter__incenter,dist_incenter__orthocenter,0.006859782386559254,0.18284314274394578,0.06828282259059092,2.5772713206737925,0.03751730736856629
dist_circumcenter__orthocenter,perimeter,semiperimeter,0.006470942159372035,0.17116756944521638,0.07916798356387564,2.080343844465371,0.03780472072101903
dist_circumcenter__steiner_focus_1,dist_incenter__orthocenter,semiperimeter,0.008575416207091138,0.2265783257287168,0.19284917927023304,1.1304321353431612,0.03784746921185445
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_1,0.00523401211135364,0.13779804169664714,0.06913833412142033,1.9173737879261794,0.037983211132099806
dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_1,dist_incenter__steiner_focus_2,0.013602039762927476,0.3565172872775339,0.07440619928836945,4.608691893878365,0.03815253915678667
area,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,0.00561653558199403,0.14505849933195258,0.05535278517916736,2.519149909053521,0.03871910717303867
dist_centroid__orthocenter,dist_incenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.005046393757382382,0.13029425747701054,0.019168013552732174,6.534211976377466,0.03873074573737666
dist_circumcenter__incenter,dist_orthocenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,0.014048951465273025,0.3622883876501109,0.2534775620079982,1.3738471895743165,0.03877836536908589
dist_circumcenter__incenter,dist_circumcenter__steiner_focus_1,semiperimeter,0.006071951771506002,0.1555244096361675,0.11884504077063784,1.2575405494041079,0.03904179276880507
circumradius,dist_centroid__incenter,dist_circumcenter__incenter,0.004173382726788917,0.10563757412968011,0.03698434425604634,2.743436268612589,0.03950661269129197
dist_centroid__incenter,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,0.011834874899855628,0.2988755472168454,0.03952891288387611,7.261537223657724,0.039598003282847974
dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,dist_circumcenter__steiner_focus_2,0.003832107894464501,0.0952759044116409,0.02335934937078055,3.9146551158466965,0.04022116523720231
circumradius,dist_centroid__incenter,dist_incenter__orthocenter,0.008571619892020644,0.21268005010445737,0.15158986381912473,1.346451702443486,0.040302886367624566
area,dist_centroid__orthocenter,dist_orthocenter__steiner_focus_1,0.005652095169578721,0.1400764631032548,0.06914489329453108,1.9440968309992057,0.04035007055690992
circumradius,dist_centroid__orthocenter,dist_orthocenter__steiner_focus_1,0.014763324303210664,0.36536176182835756,0.10733218590153845,3.266479989951659,0.04040741491209004
dist_centroid__incenter,dist_circumcenter__steiner_focus_1,dist_circumcenter__steiner_focus_2,0.009151501313140034,0.22507819709339205,0.18754550540021558,1.1513296216801996,0.04065920836100703
dist_centroid__orthocenter,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,0.0054850128372350825,0.13489309019539292,0.0550745195088505,2.3496905376970547,0.04066192589472174
area,dist_centroid__circumcenter,dist_centroid__orthocenter,0.005552241680527684,0.13647440443203954,0.06852066854339176,1.9106959335722682,0.040683391905128596
dist_centroid__circumcenter,dist_circumcenter__incenter,dist_circumcenter__orthocenter,0.009338068104482008,0.22807290802485358,0.07312558537246809,2.9912217291148773,0.04094334651735321
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,0.006269429511667386,0.15284707505002124,0.020216037218984295,7.250562706755754,0.041017661015859366
dist_circumcenter__steiner_focus_1,dist_circumcenter__steiner_focus_2,dist_incenter__steiner_focus_1,0.01127331141535793,0.2742321947892939,0.173760779640292,1.513338533116023,0.04110863578224202
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_1,dist_incenter__orthocenter,0.0063410273566999265,0.15382254556890904,0.09261903290179029,1.5923456938769047,0.0412230036451925
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,semiperimeter,0.014653900024461331,0.3553875967586579,0.005263010968254702,64.7412096971535,0.04123357190322185
circumradius,dist_circumcenter__incenter,perimeter,0.0038456413708099894,0.09259469176209266,0.005937981730646431,14.945995864763484,0.041531985231839784
dist_centroid__incenter,dist_circumcenter__steiner_focus_2,dist_incenter__orthocenter,0.007209057966989168,0.172311801746722,0.16741272699308607,0.9862018661612947,0.04183728504902776
dist_circumcenter__incenter,dist_orthocenter__steiner_focus_2,perimeter,0.005135920159836168,0.12213691503133149,0.09754045840354103,1.1995124565382174,0.04205051485473219
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,dist_circumcenter__incenter,0.005863525148830567,0.13920764048417064,0.0632251404134596,2.1090362862516203,0.042120713550182695
circumradius,dist_circumcenter__orthocenter,semiperimeter,0.008489928903653576,0.2011682127961084,0.09192139986757157,2.096119991319113,0.042203133316387524
